"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.376802100E-2,-2.211703062E-1,1.884113103E-1,-2.744003385E-2
1.193190110E-1,-1.204926968E-1,-1.780676246E-1,-5.532237142E-2
1.359849480E-1,-2.473622933E-2,-3.005042300E-2,-5.618903786E-2
1.526508860E-1,1.643906981E-1,1.929341704E-1,-2.912516147E-2
1.693168230E-1,3.278271258E-1,4.251342714E-1,-1.540331915E-2
1.859827610E-1,4.305190444E-1,5.345908403E-1,-1.373020560E-2
2.026486980E-1,4.090021253E-1,4.926722646E-1,-3.630083054E-2
2.193146360E-1,2.569099069E-1,3.260736763E-1,-7.717119157E-2
2.359805730E-1,7.180093974E-2,4.900560156E-2,-9.037872404E-2
2.526465110E-1,-7.276154310E-2,-1.798656434E-1,-6.010995805E-2
2.693124480E-1,-1.644894928E-1,-2.485889494E-1,-2.453423291E-2
2.859783860E-1,-2.032917589E-1,-2.000268847E-1,4.129558802E-4
3.026443230E-1,-2.096021622E-1,-1.735160649E-1,-1.255566627E-2
3.193102610E-1,-1.973259449E-1,-2.306928486E-1,-3.140257299E-2
3.359761980E-1,-1.883854717E-1,-3.365829587E-1,-2.426967397E-2
3.526421360E-1,-1.626078784E-1,-4.145647883E-1,1.780845411E-2
3.693080730E-1,-8.578167856E-2,-4.228312969E-1,7.167771459E-2
3.859740110E-1,6.135566626E-3,-3.367782235E-1,9.488509595E-2
4.026399480E-1,9.145352989E-2,-1.578704417E-1,8.298372477E-2
4.193058860E-1,1.418223381E-1,9.575369768E-3,7.010343671E-2
4.359718230E-1,1.727983654E-1,8.824595250E-3,5.259831995E-2
4.526377610E-1,1.952252984E-1,-1.378101856E-1,2.423120290E-2
4.693036980E-1,2.018801868E-1,-3.023313284E-1,-2.463027835E-3
4.859696360E-1,1.836345345E-1,-3.222885430E-1,-4.970043898E-3
5.026355730E-1,1.386969239E-1,-2.016453594E-1,1.235254295E-2
5.193015110E-1,1.118167117E-1,-7.323720306E-2,1.227557845E-2
5.359674480E-1,1.031490043E-1,-2.148894221E-2,2.379249781E-3
5.526333860E-1,1.096726879E-1,-5.046880618E-2,1.977328211E-3
5.692993230E-1,8.884691447E-2,-1.229734197E-1,2.457877621E-2
5.859652610E-1,3.045465797E-2,-1.930673569E-1,6.117688119E-2
6.026311980E-1,-5.720320344E-2,-2.276670486E-1,8.777086437E-2
6.192971360E-1,-8.975704759E-2,-2.388561666E-1,1.099467799E-1
6.359630730E-1,-1.177638676E-2,-2.873857319E-1,1.787661910E-1
6.526290110E-1,1.062235385E-1,-4.844868481E-1,2.247558236E-1
6.692949480E-1,7.427021116E-2,-3.415917754E-1,1.934111416E-1
6.859608860E-1,4.342055693E-2,2.328448370E-2,1.062650010E-1
7.026268230E-1,9.100601822E-2,2.365137041E-1,9.904345497E-3
7.192927610E-1,1.098196134E-1,2.148639113E-1,-5.457316339E-2
7.359586980E-1,1.245895550E-1,8.309690654E-2,-7.922644913E-2
7.526246360E-1,1.397905350E-1,-3.603569046E-2,-5.415944755E-2
7.692905730E-1,9.909071773E-2,2.776877955E-3,1.249388047E-2
7.859565110E-1,8.187416196E-2,1.479922831E-1,1.116229743E-1
8.026224480E-1,1.304369718E-1,2.261434942E-1,1.804317832E-1
8.192883860E-1,1.906538606E-1,2.314047515E-1,2.036741674E-1
8.359543230E-1,2.364745140E-1,2.235230654E-1,1.880924106E-1
8.526202610E-1,2.596368492E-1,2.135434598E-1,1.632353365E-1
8.692861980E-1,2.655956745E-1,1.943401545E-1,1.435065866E-1
8.859521360E-1,2.097652704E-1,1.738642007E-1,9.703132510E-2
9.026180730E-1,1.223674491E-1,1.219282225E-1,6.638786942E-2
9.192840110E-1,3.845881298E-2,7.959911972E-2,5.386536568E-2
9.359499480E-1,-3.628525510E-2,7.925461978E-2,4.107384756E-2
9.526158860E-1,-9.813105315E-2,1.023762822E-1,2.301393449E-2
9.692818230E-1,-1.441490054E-1,1.481747627E-1,1.196934097E-2
9.859477610E-1,-1.339877844E-1,2.130617797E-1,3.515236452E-2
1.002613698E0,-5.614772439E-2,2.380674332E-1,9.495048225E-2
1.019279636E0,3.235278651E-2,2.377188355E-1,1.496815085E-1
1.035945573E0,8.932041377E-2,3.016231656E-1,1.755860746E-1
1.052611511E0,1.274854094E-1,3.897987008E-1,1.784098148E-1
1.069277448E0,1.624857187E-1,3.970324695E-1,1.620559692E-1
1.085943386E0,1.741714627E-1,3.095737100E-1,1.405971050E-1
1.102609323E0,1.543287188E-1,1.804279238E-1,1.075475067E-1
1.119275261E0,8.246825635E-2,3.865861148E-2,7.184164226E-2
1.135941198E0,2.778990567E-2,-1.177108511E-1,3.011550941E-2
1.152607136E0,3.526809812E-2,-2.358346730E-1,-1.223595068E-2
1.169273073E0,8.346062154E-2,-2.610367537E-1,-2.687192708E-2
1.185939011E0,9.486006945E-2,-1.838520020E-1,-1.942097768E-2
1.202604948E0,6.584236026E-2,-5.953799188E-2,-2.748602629E-2
1.219270886E0,7.862501591E-2,3.774751350E-2,-2.494871244E-2
1.235936823E0,1.135682389E-1,4.758757725E-2,-1.278861240E-2
1.252602761E0,1.160677597E-1,1.169458590E-2,-7.521834224E-3
1.269268698E0,7.820706069E-2,-2.783124894E-2,4.659704864E-4
1.285934636E0,2.482127771E-2,-5.924104899E-2,1.900415681E-2
1.302600573E0,4.198628012E-3,-1.139342040E-1,3.673937917E-2
1.319266511E0,2.107544616E-2,-1.665891558E-1,4.836419225E-2
1.335932448E0,3.222405910E-2,-1.229698583E-1,3.212999552E-2
1.352598386E0,6.133622304E-2,3.535295278E-2,-3.888145089E-3
1.369264323E0,1.149379164E-1,2.234788835E-1,-1.972349361E-2
1.385930261E0,2.018082738E-1,3.252499998E-1,5.053859204E-3
1.402596198E0,2.704038918E-1,3.086991012E-1,6.986827403E-2
1.419262136E0,2.645089328E-1,2.537924647E-1,1.221721172E-1
1.435928073E0,2.091183364E-1,2.551331818E-1,1.279227734E-1
1.452594011E0,1.364046782E-1,2.960069776E-1,9.001875669E-2
1.469259948E0,6.727474183E-2,3.040840626E-1,3.514860943E-2
1.485925886E0,8.516435046E-4,2.495494336E-1,3.814756870E-3
1.502591823E0,-4.432209209E-2,2.185213417E-1,1.798190176E-2
1.519257761E0,-1.533859503E-2,2.759345174E-1,5.259538442E-2
1.535923698E0,6.339023262E-2,3.765371442E-1,9.944657981E-2
1.552589636E0,1.149793044E-1,4.160779119E-1,1.328881681E-1
1.569255573E0,1.091775447E-1,3.783595264E-1,1.445679665E-1
1.585921511E0,6.979649514E-2,3.031204641E-1,1.132395938E-1
1.602587448E0,1.292788330E-2,1.932314932E-1,4.844355956E-2
1.619253386E0,-2.237472311E-2,5.735787004E-2,-2.423693612E-2
1.635919323E0,-2.616173774E-2,-8.958487213E-2,-7.437360287E-2
1.652585261E0,-3.068457823E-3,-1.842822731E-1,-6.898713857E-2
1.669251198E0,7.372532971E-3,-1.713301837E-1,-4.874209315E-2
1.685917136E0,2.035065088E-3,4.645779263E-3,-6.149966270E-2
1.702583073E0,2.060447261E-2,2.486907393E-1,-9.999602288E-2
1.719249011E0,7.657300681E-2,4.620150030E-1,-1.166047528E-1
1.735914948E0,1.139612943E-1,5.649133325E-1,-1.048729345E-1
1.752580886E0,7.391159981E-2,4.886498451E-1,-7.682721317E-2
1.769246823E0,3.204615042E-2,3.513910472E-1,-2.029735968E-2
1.785912761E0,3.904397786E-2,3.518350124E-1,2.948209830E-2
1.802578698E0,7.375080138E-2,4.491609931E-1,4.108133540E-2
1.819244636E0,1.040167734E-1,5.064115524E-1,3.152509034E-2
1.835910573E0,1.157902032E-1,4.689921737E-1,6.423233077E-3
1.852576511E0,9.404156357E-2,4.035482109E-1,-2.567965910E-2
1.869242448E0,8.305450529E-2,3.281500936E-1,-5.617702752E-2
1.885908386E0,1.046766564E-1,2.928092480E-1,-7.917897403E-2
1.902574323E0,9.945036471E-2,2.840443254E-1,-9.556701034E-2
1.919240261E0,5.820155516E-2,2.292572707E-1,-8.932300657E-2
1.935906198E0,2.068379149E-2,1.705845743E-1,-4.264025390E-2
1.952572136E0,-2.547044307E-2,1.994224638E-1,1.168631203E-2
1.969238073E0,-6.598830223E-2,2.614959776E-1,4.124876857E-2
1.985904011E0,-9.392099082E-2,2.741675079E-1,3.928650916E-2
2.002569948E0,-9.234859049E-2,2.230483592E-1,1.825528592E-2
2.019235886E0,-4.487258568E-2,1.790251285E-1,1.232571900E-3
2.035901823E0,1.996578276E-2,1.786018312E-1,-1.068456843E-2
2.052567761E0,7.171849161E-2,1.405690759E-1,-2.416663244E-2
2.069233698E0,1.067439169E-1,2.983937599E-2,-3.906442225E-2
2.085899636E0,1.221280470E-1,-4.871282354E-2,-4.547616839E-2
2.102565573E0,1.280907542E-1,-4.751999304E-2,-3.972090781E-2
2.119231511E0,1.087562591E-1,-2.508676052E-2,-4.261741042E-2
2.135897448E0,6.806623936E-2,-1.729570515E-2,-4.917366058E-2
2.152563386E0,1.481430791E-2,-1.601231750E-3,-4.666102678E-2
2.169229323E0,-4.071513191E-2,4.404832423E-2,-3.505152464E-2
2.185895261E0,-7.500582933E-2,1.135663986E-1,-1.835789904E-2
2.202561198E0,-7.003042102E-2,1.923814714E-1,-1.544155180E-3
2.219227136E0,-3.103638813E-2,2.495548278E-1,2.472954988E-2
2.235893073E0,2.935959771E-2,2.592535019E-1,4.577360675E-2
2.252559011E0,7.440481335E-2,2.429834902E-1,4.743944481E-2
2.269224948E0,8.157502860E-2,2.226144373E-1,4.416809976E-2
2.285890886E0,5.257694423E-2,2.029191703E-1,3.970171884E-2
2.302556823E0,1.498988643E-2,1.693276018E-1,2.716719359E-2
2.319222761E0,-1.260219980E-2,1.277559400E-1,1.766377501E-2
2.335888698E0,-2.885500714E-2,1.087998152E-1,1.436282136E-2
2.352554636E0,-3.039968014E-2,1.088435650E-1,2.239785343E-2
2.369220573E0,-1.643302292E-2,1.098381653E-1,3.340014070E-2
2.385886511E0,-1.779001206E-2,1.077486873E-1,3.678417578E-2
2.402552448E0,-4.501391575E-2,1.387099475E-1,2.838834003E-2
2.419218386E0,-7.561001927E-2,1.963757724E-1,2.429351211E-2
2.435884323E0,-9.257487953E-2,2.435465157E-1,2.964832634E-2
2.452550261E0,-8.325328678E-2,2.446570247E-1,3.740614280E-2
2.469216198E0,-6.837900728E-2,2.207678705E-1,4.309761152E-2
2.485882136E0,-5.669205263E-2,1.885825843E-1,5.397959799E-2
2.502548073E0,-3.638261929E-2,1.684133708E-1,6.180737913E-2
2.519214011E0,-1.878177375E-2,1.674797684E-1,6.722545624E-2
2.535879948E0,-1.146951038E-2,1.469018906E-1,6.751608849E-2
2.552545886E0,-1.406142209E-2,8.260939270E-2,4.808614776E-2
2.569211823E0,-2.484198660E-2,2.927253023E-3,2.025573887E-2
2.585877761E0,-4.073362052E-2,-3.996344656E-2,-1.825936139E-3
2.602543698E0,-4.503973946E-2,-3.315817565E-2,-7.938619703E-3
2.619209636E0,-3.399506584E-2,-2.019816823E-2,-5.397524685E-3
2.635875573E0,-1.410361473E-2,-2.819969505E-2,1.733560115E-3
2.652541511E0,-7.631002925E-3,-3.490329534E-2,6.945753470E-3
2.669207448E0,-4.394330084E-3,-2.141752839E-2,6.267813966E-3
2.685873386E0,5.612973124E-3,-1.299915276E-2,3.165278584E-3
2.702539323E0,1.433201693E-2,-1.065197214E-2,5.074724555E-3
2.719205261E0,1.872635633E-2,4.813546315E-3,1.260255836E-2
2.735871198E0,1.260670647E-2,3.964227065E-2,2.207086608E-2
2.752537136E0,3.737862455E-3,3.351907805E-2,2.062650770E-2
2.769203073E0,9.391596541E-4,-4.869125318E-3,7.497461513E-3
2.785869011E0,-6.926316768E-3,-3.155049309E-2,-1.111907139E-2
2.802534948E0,-1.021786965E-2,-3.070640191E-2,-2.055268362E-2
2.819200886E0,-6.889687851E-3,9.999061003E-4,-6.993789226E-3
2.835866823E0,-3.884525970E-3,-8.879534900E-3,1.507656090E-2
2.852532761E0,-2.063307911E-4,-3.006349877E-2,2.845553681E-2
2.869198698E0,8.623072878E-3,1.179738902E-2,2.879431844E-2
2.885864636E0,2.426078916E-2,6.258615106E-2,2.049601637E-2
2.902530573E0,5.248389021E-2,9.892780334E-2,2.078388818E-2
2.919196511E0,8.775589615E-2,1.487037539E-1,2.718635276E-2
2.935862448E0,1.111926213E-1,1.615662873E-1,2.687745914E-2
2.952528386E0,1.337451041E-1,1.257578135E-1,2.166728675E-2
2.969194323E0,1.657461822E-1,1.157089546E-1,1.716346294E-2
2.985860261E0,1.435285956E-1,1.395388693E-1,1.095793396E-2
3.002526198E0,6.933024526E-2,1.054286957E-1,1.962785423E-2
3.019192136E0,8.907075040E-3,1.122654788E-2,4.863119125E-2
3.035858073E0,-1.838306710E-2,-8.069832623E-2,8.556047082E-2
3.052524011E0,-2.158177271E-2,-1.136597320E-1,1.076314151E-1
3.069189948E0,-1.619077101E-2,-1.084138975E-1,1.122578830E-1
3.085855886E0,-1.078503393E-2,-1.031024754E-1,1.010482460E-1
3.102521823E0,-6.255732849E-3,-1.072294712E-1,8.026742190E-2
3.119187761E0,4.893904086E-3,-1.149814129E-1,4.906212166E-2
