"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.304516660E-1,2.749322057E-1,-9.318351746E-2,-8.039430380E-1
1.471183320E-1,1.120698452E-1,2.691335678E-1,-6.105446815E-2
1.637849980E-1,2.633026838E-1,1.631565094E-1,3.727626801E-2
1.804516640E-1,1.922332644E-1,3.555679321E-2,1.853246689E-1
1.971183300E-1,1.991047859E-1,7.978057861E-2,7.609176636E-2
2.137849960E-1,2.616485357E-1,4.212856293E-1,-1.779452562E-1
2.304516620E-1,1.393569708E-1,3.258342743E-1,7.714724541E-2
2.471183280E-1,-2.278200984E-1,-4.379749298E-2,5.165392160E-1
2.637849940E-1,-2.278200984E-1,-4.379749298E-2,5.165392160E-1
2.804516600E-1,-2.564345002E-1,-1.981706619E-1,1.768860817E-1
2.971183260E-1,-8.319139481E-3,3.930854797E-2,4.997873306E-2
3.137849920E-1,6.246125698E-2,1.176834106E-2,-2.273213863E-2
3.304516580E-1,-7.097810507E-2,2.035140991E-1,-3.112292290E-2
3.471183240E-1,-1.867069602E-1,2.363367081E-1,-1.040207148E-1
3.637849900E-1,-2.790399194E-1,-3.254699707E-2,7.435834408E-2
3.804516560E-1,-3.049418330E-1,-2.467918396E-1,7.518815994E-2
3.971183220E-1,-3.115090728E-1,-2.262840271E-1,-9.042716026E-2
4.137849880E-1,-4.552714825E-1,-1.007556915E-1,-2.646397352E-1
4.304516540E-1,-4.137386680E-1,6.195545197E-2,-1.840521097E-1
4.471183200E-1,-3.770180941E-1,1.301250458E-1,2.561032772E-1
4.637849860E-1,-2.663557529E-1,-1.345787048E-1,4.029314518E-1
4.804516520E-1,-2.100306749E-1,-3.231401443E-1,2.336456776E-1
4.971183180E-1,-2.302772999E-1,-2.299690247E-1,-2.334638834E-1
5.137849840E-1,3.143715858E-2,9.525299072E-2,-1.838457584E-1
5.304516500E-1,1.493121386E-1,1.643705368E-1,2.295470238E-2
5.471183160E-1,1.746875644E-1,1.736202240E-1,3.736656904E-1
5.637849820E-1,1.092391610E-1,1.891279221E-1,4.185959101E-1
5.804516480E-1,-2.400147915E-2,3.152246475E-1,1.928116083E-1
5.971183140E-1,3.321272135E-2,2.653741837E-1,-1.458524466E-1
6.137849800E-1,6.234472990E-2,2.426242828E-2,-1.710017920E-1
6.304516460E-1,-1.817888021E-1,-1.893291473E-1,3.483080864E-1
6.471183120E-1,-7.216012478E-2,-5.239868164E-2,1.057783484E0
6.637849780E-1,-4.768937826E-2,-2.382278442E-2,-6.526410580E-1
6.804516440E-1,4.816639423E-2,-1.461238861E-1,-9.670470357E-1
6.971183100E-1,9.114170074E-2,-4.043483734E-1,-2.145425081E-1
7.137849760E-1,9.879755974E-2,-2.307682037E-1,-1.776695251E-1
7.304516420E-1,3.489638865E-1,2.173805237E-2,1.274565458E-1
7.471183080E-1,4.040209353E-1,-5.453300476E-2,4.733796120E-1
7.637849740E-1,4.255541265E-1,-1.848735809E-1,1.343131065E-3
7.804516400E-1,1.804139018E-1,-1.470174789E-1,-2.085846663E-1
7.971183060E-1,3.150665760E-2,-3.211021423E-2,8.997094631E-2
8.137849720E-1,3.600931168E-2,-5.741596222E-2,7.076787949E-2
8.304516380E-1,1.051433086E-1,5.749702454E-3,1.652741432E-2
8.471183040E-1,3.220546246E-2,3.211879730E-2,-9.000420570E-2
8.637849700E-1,-3.535752296E-1,4.344034195E-1,1.397283077E-1
8.804516360E-1,-8.836531639E-2,2.294139862E-1,2.725470066E-2
8.971183020E-1,-7.389450073E-2,-1.892175674E-1,-7.889366150E-2
9.137849680E-1,-3.179639578E-2,-1.797876358E-1,2.076065540E-2
9.304516340E-1,1.028887928E-1,6.416225433E-2,-1.167932749E-1
9.471183000E-1,3.325336874E-1,-1.709556580E-2,-1.879658699E-1
9.637849660E-1,4.782310128E-1,3.129673004E-2,-3.736804724E-1
9.804516320E-1,5.280469060E-1,-9.369373322E-2,-4.045380354E-1
9.971182980E-1,2.727419436E-1,7.986068726E-2,-2.351503372E-1
1.013784964E0,1.795864999E-1,2.278776169E-1,-2.103126049E-1
1.030451630E0,1.893557906E-1,1.978750229E-1,-5.103496909E-1
1.047118296E0,2.996283770E-2,3.782558441E-1,-3.578066826E-1
1.063784962E0,-1.172180772E-1,2.522258759E-1,2.066690922E-1
1.080451628E0,-3.029754460E-1,6.051731110E-2,4.048942327E-1
1.097118294E0,-3.334013522E-1,-3.527355194E-1,4.317992926E-1
1.113784960E0,-4.350549579E-1,-2.782649994E-1,1.083564758E-1
1.130451626E0,-3.082581758E-1,1.451683044E-2,2.804064751E-1
1.147118292E0,-1.100737453E-1,-2.888965607E-2,5.138326883E-1
