"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.376802100E-2,-7.517310381E-1,9.908276558E0,1.482679963E0
5.265526100E-2,-1.067614317E0,9.522066116E0,2.268666267E0
6.932119800E-2,-1.100211501E0,9.503253937E0,2.196722507E0
8.598713600E-2,-1.101625562E0,9.342950821E0,2.029974699E0
1.026530730E-1,-7.872632146E-1,9.193361282E0,1.360115647E0
1.193190110E-1,-6.491921544E-1,9.263907433E0,1.072530627E0
1.359849480E-1,-8.726822734E-1,9.675494194E0,1.659132838E0
1.526508860E-1,-7.154319286E-1,9.766735077E0,1.956111789E0
1.693168230E-1,-7.129957080E-1,9.660931587E0,1.972010016E0
1.859827610E-1,-7.326190472E-1,9.657414436E0,2.026412487E0
2.026486980E-1,-5.915991664E-1,9.862681389E0,1.588901043E0
2.193146360E-1,-7.299740911E-1,1.007627392E1,1.670307040E0
2.359805730E-1,-9.446601272E-1,9.793709755E0,2.074645042E0
2.526465110E-1,-1.136023641E0,9.529571533E0,2.211019516E0
2.693124480E-1,-1.190114021E0,9.354412079E0,2.085274696E0
2.859783860E-1,-1.045491815E0,9.627829552E0,1.944120407E0
3.026443230E-1,-9.246380925E-1,9.628196716E0,1.897957802E0
3.193102610E-1,-9.556961060E-1,9.776356697E0,1.922801614E0
3.359761980E-1,-1.080073357E0,9.911593437E0,1.829754949E0
3.526421360E-1,-1.198234439E0,9.706601143E0,1.998524308E0
3.693080730E-1,-1.252795815E0,9.483782768E0,2.103487730E0
3.859740110E-1,-1.240691543E0,9.383964539E0,2.006930113E0
4.026399480E-1,-1.281948447E0,9.458682060E0,1.818984509E0
4.193058860E-1,-1.363260269E0,9.623187065E0,1.727342486E0
4.359718230E-1,-1.394581795E0,9.807291985E0,2.080955744E0
4.526377610E-1,-1.234688163E0,9.593613625E0,2.272783279E0
4.693036980E-1,-1.157308221E0,9.362868309E0,2.277822495E0
4.859696360E-1,-1.160394788E0,9.360117912E0,1.798503280E0
5.026355730E-1,-1.059101462E0,9.649898529E0,1.646460891E0
5.193015110E-1,-8.224611878E-1,9.792937279E0,1.821575999E0
5.359674480E-1,-7.462751269E-1,9.816920280E0,2.039843559E0
5.526333860E-1,-7.957085967E-1,9.860233307E0,2.267544031E0
5.692993230E-1,-8.829036355E-1,9.937296867E0,2.067507982E0
5.859652610E-1,-8.827459812E-1,9.974619865E0,1.787891030E0
6.026311980E-1,-8.377068639E-1,9.823845863E0,1.619298816E0
6.192971360E-1,-8.801693320E-1,9.610564232E0,1.970105529E0
