"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.640845900E-2,-3.542380095E0,4.173800468E0,7.947981358E0,9.650879480E0
1.877720900E-2,-3.578291416E0,4.161829948E0,7.919251919E0,9.635328169E0
2.114668800E-2,-3.652508497E0,4.159435272E0,7.921646595E0,9.664067719E0
2.351616700E-2,-3.707573175E0,4.123524189E0,7.945586681E0,9.689267170E0
2.588486500E-2,-3.743484735E0,4.109159470E0,7.909676075E0,9.667566660E0
2.825356300E-2,-3.774607897E0,4.051701069E0,7.900099277E0,9.647565233E0
3.062304200E-2,-3.846430540E0,4.044518948E0,7.936010838E0,9.702238372E0
3.299257400E-2,-3.884735823E0,4.018183708E0,7.928827763E0,9.700684636E0
3.536127100E-2,-3.944588423E0,3.984666348E0,7.952768803E0,9.730563979E0
3.772996900E-2,-3.970924139E0,3.963119507E0,7.945586681E0,9.726607962E0
4.009950100E-2,-4.006834984E0,3.953542948E0,7.950375080E0,9.741339351E0
4.246898000E-2,-4.047534943E0,3.965513468E0,7.959951878E0,9.770807033E0
4.483762600E-2,-4.037958145E0,3.936784267E0,7.900099277E0,9.706438324E0
4.720637600E-2,-4.030776024E0,3.910449266E0,7.890522480E0,9.684994261E0
4.957590700E-2,-4.009229183E0,3.900872707E0,7.902493000E0,9.681948261E0
5.194538600E-2,-3.985288382E0,3.898478746E0,7.888128757E0,9.659359985E0
5.431403200E-2,-3.973317862E0,3.915237427E0,7.883340359E0,9.657297456E0
5.668278200E-2,-3.980499983E0,3.931996346E0,7.837852955E0,9.630000743E0
5.905226100E-2,-3.939800501E0,3.965513468E0,7.768423557E0,9.570565794E0
6.142174000E-2,-3.923042059E0,3.991848469E0,7.725329876E0,9.539697840E0
6.379043800E-2,-3.918253660E0,4.049306870E0,7.730118275E0,9.565789377E0
6.615918800E-2,-3.906283140E0,4.056489468E0,7.722935677E0,9.558132152E0
6.852866700E-2,-3.908676863E0,4.092400551E0,7.696600914E0,9.553175530E0
7.089814600E-2,-3.899101019E0,4.097188950E0,7.691812515E0,9.547456510E0
7.326684400E-2,-3.879947901E0,4.116341591E0,7.703783035E0,9.557538222E0
7.563554200E-2,-3.867977381E0,4.104371071E0,7.691812515E0,9.537876633E0
7.800507400E-2,-3.839248419E0,4.066065788E0,7.730118275E0,9.540830570E0
8.037455300E-2,-3.815307379E0,4.066065788E0,7.746876717E0,9.544818503E0
8.274325100E-2,-3.808125257E0,4.068459988E0,7.785181999E0,9.574092302E0
8.511194900E-2,-3.762637377E0,4.054095268E0,7.782788277E0,9.548032354E0
8.748148000E-2,-3.824883699E0,4.073247910E0,7.792364597E0,9.588640668E0
8.985095900E-2,-3.889524698E0,4.063671589E0,7.782788277E0,9.602792433E0
9.221960500E-2,-3.961347342E0,4.042124748E0,7.821094036E0,9.654043565E0
9.458835500E-2,-4.061899185E0,4.006213188E0,7.845035076E0,9.700172393E0
9.695788600E-2,-4.143298626E0,3.972695827E0,7.931222439E0,9.790481347E0
9.932736500E-2,-4.215121746E0,3.965513468E0,7.976709843E0,9.854970741E0
1.016960110E-1,-4.274974346E0,3.936784267E0,8.077261925E0,9.950670140E0
1.040647610E-1,-4.337220669E0,3.927207947E0,8.199360847E0,1.007293223E1
1.064342400E-1,-4.375526428E0,3.903266907E0,8.357371330E0,1.020913217E1
1.088037190E-1,-4.447349072E0,3.931996346E0,8.479470253E0,1.035089005E1
1.111724170E-1,-4.535930634E0,3.941572428E0,8.654239655E0,1.053596336E1
1.135411670E-1,-4.636482716E0,3.963119507E0,8.845767975E0,1.074480801E1
1.159106460E-1,-4.703517914E0,3.951148987E0,8.975049019E0,1.087594428E1
1.182801260E-1,-4.756187916E0,3.953542948E0,9.042083740E0,1.095495795E1
1.206488240E-1,-4.784917355E0,3.924813747E0,9.058842659E0,1.097097203E1
1.230175210E-1,-4.789705276E0,3.920025826E0,9.128272057E0,1.102874562E1
1.253870530E-1,-4.741823196E0,3.886508226E0,9.207276344E0,1.106181590E1
1.277565320E-1,-4.646059513E0,3.884114265E0,9.310222626E0,1.110641517E1
1.301252300E-1,-4.528748989E0,3.864961386E0,9.374863625E0,1.110565450E1
1.324939280E-1,-4.389890671E0,3.867355585E0,9.415562630E0,1.108514316E1
1.348634590E-1,-4.251033306E0,3.908055305E0,9.374863625E0,1.101055169E1
1.372329380E-1,-4.133722305E0,3.948754787E0,9.300646782E0,1.091706714E1
1.396015840E-1,-3.994864702E0,4.008606911E0,9.276705742E0,1.086669880E1
1.419703340E-1,-3.860795259E0,4.011001587E0,9.243187904E0,1.079029177E1
1.443398650E-1,-3.662085056E0,3.915237427E0,9.173758507E0,1.062533746E1
1.467093440E-1,-3.520833254E0,3.972695827E0,9.106724739E0,1.054092095E1
1.490779900E-1,-3.420280933E0,4.022972107E0,9.073206902E0,1.049789073E1
1.514467400E-1,-3.300575972E0,4.025365829E0,9.051659584E0,1.044173898E1
1.538162190E-1,-3.135383368E0,4.027760029E0,9.039690018E0,1.038120780E1
1.561856990E-1,-2.972584486E0,3.979878187E0,9.051659584E0,1.032512616E1
1.585543960E-1,-2.816968203E0,3.989454508E0,9.022931099E0,1.025984126E1
1.609231460E-1,-2.620651960E0,3.905661106E0,9.106724739E0,1.024960686E1
1.632926260E-1,-2.469823837E0,3.936784267E0,9.094753265E0,1.021336561E1
1.656621050E-1,-2.340542555E0,3.922419786E0,9.104331017E0,1.018589023E1
1.680308030E-1,-2.199290752E0,3.836232185E0,9.085177422E0,1.010415786E1
1.703995530E-1,-2.216049433E0,3.881720066E0,8.948713303E0,1.000290435E1
1.727690320E-1,-2.151408672E0,3.785956144E0,8.912802696E0,9.919681200E0
1.751385110E-1,-2.125073433E0,3.829050064E0,8.752397537E0,9.786829116E0
1.775072090E-1,-2.120285511E0,3.841020584E0,8.663815498E0,9.711372136E0
1.798759070E-1,-2.110708952E0,3.802714825E0,8.577629089E0,9.617247689E0
1.822454380E-1,-2.086768150E0,3.788350344E0,8.503411293E0,9.540136438E0
1.846149170E-1,-2.093950272E0,3.764409304E0,8.479470253E0,9.510879082E0
1.869836150E-1,-2.050856590E0,3.685404062E0,8.496229172E0,9.485469203E0
1.893523130E-1,-2.034097672E0,3.675827503E0,8.433982849E0,9.422384405E0
1.917218440E-1,-2.046068192E0,3.661463022E0,8.369341850E0,9.361548457E0
1.940913240E-1,-2.089162350E0,3.596822262E0,8.321459770E0,9.303140460E0
1.964599690E-1,-2.175349712E0,3.522605181E0,8.259213448E0,9.238804057E0
1.988287190E-1,-2.283084393E0,3.534575701E0,8.271183968E0,9.279988360E0
2.011981990E-1,-2.378848076E0,3.560910702E0,8.319066048E0,9.356594632E0
2.035676780E-1,-2.515311718E0,3.582457781E0,8.374129295E0,9.449171299E0
2.059363760E-1,-2.745145321E0,3.721315622E0,8.343007088E0,9.538856329E0
2.083051260E-1,-2.970190525E0,3.785956144E0,8.390889168E0,9.672771925E0
2.106746050E-1,-3.180871248E0,3.912843227E0,8.501017570E0,9.884107636E0
2.130440840E-1,-3.343670130E0,4.022972107E0,8.467499733E0,9.953039045E0
2.154127820E-1,-3.453798532E0,4.090006828E0,8.498623848E0,1.004407723E1
2.177815320E-1,-3.563926935E0,4.166617870E0,8.541716576E0,1.015003457E1
2.201510110E-1,-3.559138775E0,4.195346832E0,8.546505928E0,1.016421012E1
2.225204900E-1,-3.525621414E0,4.207317352E0,8.599175453E0,1.020183043E1
2.248891880E-1,-3.458586693E0,4.216894150E0,8.575234413E0,1.016261105E1
2.272578860E-1,-3.295788050E0,4.209711552E0,8.544110298E0,1.007897371E1
2.296274170E-1,-3.113836527E0,4.209711552E0,8.503411293E0,9.986273223E0
2.319968960E-1,-2.872032642E0,4.226470470E0,8.448347092E0,9.873509645E0
2.343655940E-1,-2.599105358E0,4.243228912E0,8.414829254E0,9.775975227E0
2.367342920E-1,-2.321389675E0,4.305475712E0,8.383707047E0,9.706313150E0
2.391038240E-1,-2.041280270E0,4.401239395E0,8.433982849E0,9.729840700E0
2.414733030E-1,-1.775535345E0,4.480245113E0,8.577629089E0,9.838741933E0
2.438419490E-1,-1.457120180E0,4.573614597E0,8.510593414E0,9.770944170E0
2.462106990E-1,-1.236863017E0,4.734018803E0,8.422011375E0,9.740176577E0
2.485801780E-1,-1.059699655E0,4.887241364E0,8.410041809E0,9.784523225E0
2.509496570E-1,-8.801423311E-1,4.983005524E0,8.407648087E0,9.812927235E0
2.533183550E-1,-7.460727692E-1,5.117074966E0,8.426800728E0,9.886963705E0
2.556871050E-1,-6.766438484E-1,5.169744968E0,8.240060806E0,9.751036459E0
2.580565840E-1,-5.976386070E-1,5.243962288E0,8.120355606E0,9.684858675E0
2.604260630E-1,-5.952445269E-1,5.299026489E0,7.995863438E0,9.610818378E0
2.627947610E-1,-6.167914867E-1,5.366061687E0,7.907281399E0,9.576019470E0
2.651635110E-1,-6.862202883E-1,5.442672729E0,7.847428799E0,9.574744042E0
2.675329900E-1,-7.987428904E-1,5.495342731E0,7.718147755E0,9.508237834E0
2.699024690E-1,-9.567533731E-1,5.555194855E0,7.682236195E0,9.528500398E0
2.722711670E-1,-1.184192896E0,5.634200573E0,7.672659874E0,9.592509497E0
2.746398650E-1,-1.423602819E0,5.691658497E0,7.763635159E0,9.731169113E0
2.770093960E-1,-1.722865105E0,5.703629017E0,7.797152519E0,9.813013581E0
2.793788760E-1,-2.096344471E0,5.720387936E0,7.900099277E0,9.976425556E0
2.817475740E-1,-2.457853317E0,5.708417416E0,7.993468761E0,1.012534519E1
2.841162710E-1,-2.855273724E0,5.727570057E0,8.043745041E0,1.027907978E1
2.864858030E-1,-3.216782808E0,5.729964733E0,8.141902924E0,1.046282804E1
2.888552820E-1,-3.539986134E0,5.706023693E0,8.194572449E0,1.059439596E1
2.912239280E-1,-3.812913179E0,5.667717457E0,8.405253410E0,1.083095624E1
2.935926780E-1,-4.047534943E0,5.564771652E0,8.457923889E0,1.090347189E1
2.959621570E-1,-4.205545425E0,5.466613293E0,8.472288132E0,1.092474894E1
